weapon,别名,时间,国家,特点,作用
15式新轻型主战坦克,无,2019年亮相,中国,其体积小、重量轻,暂无介绍
Pz61/68主战坦克,无,1961年研制出,瑞士,暂无介绍,暂无介绍
15式坦克,无,2019年亮相,中国,其体积小、重量轻,暂无介绍
KT-40飞行坦克,无,暂无介绍,苏联,使之成为能够飞越千山万水的“飞行坦克”,暂无介绍
挑战者Ⅱ主战坦克,无,1993年开始生产,英国,挑战者2的炮塔防护采用的是第二代“乔巴姆”复合装甲,暂无介绍
二代主战坦克,无,1960年代开始,未知,从而形成了一种具有现代特征的的单一战斗坦克,暂无介绍
重装坦克之斩首行动,无,暂无介绍,未知,暂无介绍,暂无介绍
中国82式坦克运输车,无,暂无介绍,未知,暂无介绍,暂无介绍
战地主战坦克,无,暂无介绍,未知,暂无介绍,暂无介绍
侦察坦克,无,暂无介绍,未知,暂无介绍,暂无介绍
中国VT1A型主战坦克,无,暂无介绍,中国,结合当今战争要求特点研制的新一代外贸主战坦克,暂无介绍
中国TSFCS-C坦克火控系统,无,暂无介绍,中国,暂无介绍,中国TSFCS-C坦克火控系统由中国北方工业(集团)总公司研制生产，该火控系统适用于各种主战坦克，可装备在69式坦克上，也可用来改装T系列坦克
M26[二战时期的重型拖车],无,暂无介绍,美国,暂无介绍,暂无介绍
KV坦克,无,暂无介绍,德国,暂无介绍,KV坦克在阻止德军的快速进攻中发挥了一定作用
德国VK3001中型坦克,无,暂无介绍,德国,暂无介绍,暂无介绍
AMX-勒克莱尔主战坦克,无,1983年进入,法国,暂无介绍,暂无介绍
ZTC99式主战坦克,无,暂无介绍,未知,暂无介绍,暂无介绍
ZTZ59D1主战坦克,无,暂无介绍,未知, 它采用的二代光点注入式火控系统装有微型计算机、光点注入式激光测距瞄准镜、光点注入式炮长微光瞄准镜及各种传感器,暂无介绍
ZTZ-96A型主战坦克,96G,暂无介绍,中国,暂无介绍,暂无介绍
T-54型主战坦克,无,1947年开始研制,苏联,暂无介绍,暂无介绍
T95[重型坦克],无,1945年要求发展,美国,暂无介绍,暂无介绍
挑战者II主战坦克[挑战者II主战坦克],无,2002年驶下,英国,最新型号的挑战者-2E采用了目前最新的技术,英国挑战者2E主战坦克，是英国为了抢夺国际军火市场，在自行研制的挑战者-1的基础上新研发的一种主要用于出口的坦克，由英国维克斯防务系统集团研发
VT4主战坦克,无,暂无介绍,中国,暂无介绍,暂无介绍
VK1602豹式,无,暂无介绍,德国,暂无介绍,暂无介绍
VK3601坦克,无,1938年9月下令制造,未知,暂无介绍,暂无介绍
