weapon,type,别名,外文名,相关型号,速度参数,范围参数,尺寸参数,质量参数,数量参数,级别参数,时间,国家,相关的人与机构,作用,现状,相关地点,特点,装备
15式新轻型主战坦克,坦克,,外文名称:代号：ZTQ-15，英文：Type 15 light tank;,,最大道路速度:70 km/h;,,坦克宽度:3.3m;坦克长度:9.2m(含炮管);坦克高度:2.5m;,坦克重量:33吨;,,,服役时间:2018年;,所属国家:中华人民共和国;,,,,,,发动机:柴油发动机（1000匹马力）;
Pz61/68主战坦克,坦克,,,,最大速度:55千米/小时;,,全长:9490米;,,,,诞生时间:1961年;,原产国:瑞士;,,,,,,发动机:MTU 8汽缸柴油;
99A2主战坦克,坦克,,,,,,,,,,,所属国家:中国;,,,,,,
15式坦克,坦克,,外文名称:代号：ZTQ-15，英文：Type 15 light tank;,,最大道路速度:70 km/h;,,坦克宽度:3.3m;坦克长度:9.2m(含炮管);坦克高度:2.5m;,坦克重量:33吨;,,,服役时间:2018年;,所属国家:中华人民共和国;,,,,,,发动机:柴油发动机（1000匹马力）;
KT-40飞行坦克,坦克,,外文名:KT-40 Flying Tank;,,,,,,,,,研制国家:苏联;,,,,,,
PzKpfw38(t)轻型坦克及其改型,坦克,,,原型:原捷克的LT-38轻型坦克;,,,,,,,定型时间:1938年7月1日;,,,,,,,
挑战者Ⅱ主战坦克,坦克,,外文名:FV 4034 Challenger 2;,,,,高度:2.50米;,战斗全重:62.5千克;,,,,原产国:英国;,研发者:阿尔维斯·维克斯;,,,,,
姆岑斯克坦克战,坦克,,,,,,,,,,时间:1941年10月初;,,,,,地点:姆岑斯克地域;,,
英国IFCS坦克火控系统,坦克,,,,,,,,,,,国别:英国;,生产单位:马可尼指挥和控制系统有限公司;研制单位:马可尼指挥和控制系统有限公司;,,,,,
意大利OG14坦克火控系统,坦克,,,,,,,,,,研发时间:20世纪70年代中期;,,,目的:控制90、105和120mm火炮的射击;,,,,
日本90式坦克,坦克,,外文名:Type-90 tank;,次型:10式坦克;前型:74式坦克;,,,,,,,,,,,,,,
瑞典IKV-91轻型坦克火控系统,坦克,,外文名:Fire conol System of Light IKV-91 Tank;,,,,,,,,,国别:瑞典;,研制单位:博福斯航空电子公司;,,,,,
施泰尔SK105轻型坦克,坦克,,,,,,,,乘员:3人;,,,,,,,,,武器配备:105mm火炮×1门;
坦克火控系统,坦克,,,,,,,,,,,,,用途:缩短射击反应时间;,,,,
加拿大豹-2A6M坦克,坦克,,,,,,,,,,,,,,,,,
二代主战坦克,坦克,,,,,,,,,,,,,,,,特点:火炮威力火控系统都上了一个台阶;,
最后的坦克战,坦克,,,,,,,,,,出版时间:2000-1--01;,,,,,,,
重型坦克,坦克,,外文名:heavy tank;,,,,火炮口径:88~128毫米;,战斗全重:42千克;,,,,,,用途:战场中支援中型坦克作战;,,,,
中国PTL02攻击坦克歼击车,坦克,,英文名称:BK1970、BK1990;,次型/级:PTL-97突击炮;前型/级:“87式”代号突击炮;,,,,,,,服役时间:2004年;研制时间:1991年;定型时间:2001年;,国家:中国;,,,,,,
中国ISFCS-212稳像式火控系统,坦克,,英文名称:ISFCS-212 Image-stabilized Fire Conol System;,,,,,,,,,国家:中国;,,,现状:生产;,,,
重装坦克之斩首行动,坦克,,,,,,,,,,发行时间:2012.0;,,发行商:北京掌上极浩信息技术有限公司;,,,,,
自动装弹机,坦克,,外文名:Autoloader;,,,,,,,,,,,用途:武器;,,,,
中国82式坦克运输车,坦克,,外文名:中国82式坦克运输车;,,,,,,,,,,生产单位:汉阳特种汽车制造厂;,,现状:生产;,,,
战地主战坦克,坦克,,,,,,,,,,,,,,,,,
终极坦克,坦克,,,,,,,,,,日期:2011-09-26;,,,,,,,
重装集结：二战德军坦克及变型车辆全集,坦克,,,,,,,,,,出版时间:2012-2-1;,,作者:张翼;,,,,,
侦察坦克,坦克,,,,,,,,,,,,,,,,,
中国简化型坦克火控系统,坦克,,,,,,,,,,,所属国家:中国;,生产单位:中国北方工业(集团)总公司;设计单位:中国北方工业(集团)总公司;,,,,,
98式坦克,坦克,,,次型/级:99式主战坦克;前型/级:96式主战坦克;,,,,,,,,国家:中国大陆;,,,,,,
中国VT1A型主战坦克,坦克,,,,,,高度:2.4米;全长:10.33米;宽度:3.5米;,战斗全重:49千克;,,,,原产国:中国;,研发厂商:中国北方工业集团公司;,,,,,
中国TSFCS-C坦克火控系统,坦克,,,,,,,,,,,所属国家:中国;,生产单位:中国北方工业(集团)总公司;设计单位:中国北方工业(集团)总公司;,,,,,
中国TSFCS-212稳像式火控系统,坦克,,,,,,,,,,,,,,,,,
中型坦克,坦克,,,,,,,,,,,,,,,,特点:侦察、支援、甚至攻击等多种角色;属性:早期坦克的一种类型;,
M26[二战时期的重型拖车],坦克,,外文名:NGC 6694;,,,,,,,,参与战役时间:1942年;,,,,,,性质:代号;,
T92轻型坦克,坦克,,,,最大速度:56千米/小时;,,,,,,,原产国:美国;,,,,,,
P-1000超级坦克,坦克,,外文名:Landkreuzer P-1000 Ratte;,,,,,,,,,,,,,,,
土龟重型突击坦克,坦克,,,,,,,,,,生产日期:1945年;,原产国:英国;,研发厂商:纳菲尔特;,,,,,"武器配置:QF 32磅炮,机枪三挺;"
KV坦克,坦克,,外文名:KV Tank;,次型/级:KV-2重型坦克;前型/级:T-35重型坦克;,,,,,,,研制时间:20世纪30年代初;定型时间:1939年;诞生时间:1940年;,原产国:苏联;,,,,,特点:轧制装甲板焊接结构;,
MS-1轻型坦克,坦克,,,,射速:30.0;,,,,,,时间:1926年;,国家:苏联;,,,,,,
施纳德突击坦克,坦克,,外文名:Schneider;,,,,全长:7米;宽:2.5米;高:2.3米;,,,,,,,,,,,
T-40轻型坦克,坦克,,,,,,,战斗总重:5.6t;,乘员人数:2人;,,生产年代:1939年;,,,,,,,
M3李战车,坦克,,,,,,宽度:8呎11吋;全长:18呎6吋;,总重:27.22公吨;,"制造数量:6,258辆;",,生产日期:1941年8月–1942年12月1日;,,,,,,,
C1公羊坦克,坦克,,,,,,宽度:3.42m;,,乘员:4人;,,,,,,,,,
中国90II式中型坦克,坦克,,,,,,,战斗全重:48吨;,,,,,,,,,,发动机功率:883千瓦;
德国VK3001中型坦克,坦克,,,,,,,,,,时间:1939年9月3日;,,作者:斐迪南;,,,地点:德国;,,
AMX-勒克莱尔主战坦克,坦克,原名:EPC坦克;,,,,,,,,,研制时间:1978年;,,研制单位:法国地面武器集团;,,,,,
早期试验车,坦克,,,,,,,,,,研制时间:1928年;,国家:德国;,,,,,,
ZTC99式主战坦克,坦克,,,,,,高度:2米;全长:11米;宽度:3.4米;,战斗全重:48千克;,,,,,,,,,,
自动装表式简易火控系统,坦克,,,,,,,,,,,,,作用:距离300～3000米;,,,特点:手动自动装表功能并存，转换方便;,
ZTZ59D1主战坦克,坦克,,,次型/级:64式主战坦克;,,,,,,,,原产国:中国;,,,,,,
ZTZ-96A型主战坦克,坦克,,,,最大速度:60公里/小时;,最大行程:400公里;,全长:10.65米;宽度:3.4米;,,,,,原产国:中国;,生产商:中国北方工业（集团）总公司;,,,,,发动机:涡轮增压柴油机;
T32重型坦克,坦克,,,型号:T32;,,,,,,,时间:1944年年底;,,,,,,,
坦克和越野车,坦克,,,,,,,,,,,,,,,,,
坦克代差,坦克,,,,,,,,,,时间:1916;,,,,,,,
T-54型主战坦克,坦克,,,,,,高度:2.4米;全长:9米;宽度:3.27米;,,,,,原产国:苏联;,,,,,,
T95[重型坦克],坦克,别名:T28;,,,,,,,,,诞生时间:1945年;,原产国:美国;,研发厂商:美国太平洋汽车和铸造公司;,,,,,
土耳其M48A5T1等坦克,坦克,,,,,,,,,,时间:1982～1984年间完成了交货。;,国别:土耳其;,,,,,,
挑战者II主战坦克[挑战者II主战坦克],坦克,,,,,,,,,,定型时间:2002;,国家:英国;,,,,,,
T10重型坦克,坦克,别名:T-10;,,,,,,,制造数量:3000辆;,,诞生时间:1953年;,原产国:苏联;,,,,,,
VT4主战坦克,坦克,别名:MBT-3000，AI-Hyder Tank;,外文名:VT-4 Main Battle Tank;,次型/级:本型为已知最新型;前型/级:VT-1/MBT-2000主战坦克;,,,,,,,研制时间:2009;,原产国:中国;,,,,,,
VK1602豹式,坦克,,,,,,,,,,,,,,,,,
VK3601坦克,坦克,,,,,,,,,,,,,,,,,
VFM5轻型坦克,坦克,,英文名称:VFM5 Light Tank;,,,,,,,,研制时间:1986;,国家:英美;,,,,,,
VT-4主战坦克,坦克,别称:MBT-3000，Al-Hyder Tank;,英文名称:VT-4 Main Battle Tank;,次型/级:本型为已知最新型;前型/级:VT-1/MBT-2000主战坦克;,,,,,,,服役时间:2016（泰国）;研制时间:2009;,国家:中国;,,,,,,
WZ-122中型坦克,坦克,,,型号:WZ－122中型;,,,,,,,,,,,,,,
t54e1,坦克,,,,,,,,,,时间:上世纪五十年代;,原产国:美国;,,,,,,
T-34坦克[第二次世界大战中苏联著名坦克],坦克,,外文名:T-34 Medium Tank;,次型/级:T-44坦克;前型/级:T-32/A-32中型坦克;,,,,,,,研制时间:1938年;定型时间:1940年;,原产国:苏联;,研发者:米哈伊尔·伊里奇·科什金;研发厂商:哈尔科夫共产国际工厂;总设计师:米哈伊尔·伊里奇·科什金;,,,,,
T-43中型坦克,坦克,,,,,,,,,,,,生产单位:德国;,,,,性质:军事武器;,
T-34/57坦克,坦克,,外文名:T-34/57 tanks;,型号:T-34/57;,,,,,,,,,,,,,属性:坦克;,
T-90MS,坦克,,,,,,,,,,,原产国:k俄罗斯;,,,,,,
T22中型坦克,坦克,,,,,,,,,,定型时间:42年10月;,,,,,,,
T-55主战坦克,坦克,,英文名称:Т-55MBT;,次型/级:T-62坦克;前型/级:T-54坦克;,,,尺寸:长9.74米，宽3.23米，高2.65米;,战斗全重:39.5吨;,,,服役时间:1955年;研制时间:1949年;定型时间:1951年;,国家:苏联;,,,,,,
TAM和TH301坦克,坦克,,"英文名称:TAM,TH301;",,,,,,,,,国家:联邦德国;,,,,,,
TM80中型坦克,坦克,,,,,,,,乘员:3人;,,,,,,,,,
退射坦克,坦克,,,,,,,,,,,,,,,,,
突击虎,坦克,,外文名:Sturmtiger;,,,,,,,,,,,,,,,武备:7.92mm机枪一挺，380mm臼炮一门;
坦克抢救车,坦克,,外文名:armoured recovery vehicle;,,,,,,,,,,,,,,,
T-98式坦克,坦克,,,,,最大行程:500KM;,,全重:50T;,,,,,,,,,,
T-127,坦克,,,,,,,,,,,国家:苏联;,,,,,,
T29重型坦克,坦克,别名:T29;,外文名:T29heavytank;,,,,,,,,诞生时间:1944年;生产日期:1945年;,原产国:美国;,,,,,,
TTD-“号角”2主战坦克,坦克,,,,,,,,,,,,,,,,,
挑战者Ⅰ主战坦克,坦克,,,,,,,,,,结束时间:1990年;,,,,,,,
T-14重型坦克,坦克,,,,,,宽度:3.17 米;长度:6.19 米;,重量:42.5吨;,,,,,,,,,,
T-34/85,坦克,,,,,,,,,,,原产国:苏联;,,,,,,
T-84M主战坦克,坦克,,,,,,,,,,,原产国:乌克兰;,研发厂商:莫洛佐夫机械设计局;,,,,,
T-95主战坦克[第三代主战坦克],坦克,,,,,,,重量:约55吨;,,,,,,,,,特点:单位功率与加速性能;,
T95重型坦克,坦克,,,,,,,重量:87.7吨;,,,研发时间:1945年5月;,生产国:美国;,,,,,,
T-50坦克,坦克,,,,,,高度:2.16 m;宽度:2.47 m;长度:5.20 m;,重量:14 t （基本型）;,,,,,,,,,,
T-55坦克,坦克,,英文名称:Т-55MBT;,,,,尺寸:长9.74米，宽3.23米，高2.65米;,战斗全重:36吨;,,,,国家:苏联;,,,,,,
坦克歼击车[自行反坦克炮],坦克,,外文名:Tank Destroyer;,,,,,,,,广泛装备时间:1916年;,发明国:德国;,,,,,,
T-43坦克,坦克,,外文名:T-43 tank;,,,,,,,,,国家:前苏联;,,,,,,
T44,坦克,,外文名:T-44 Medium Tank;,,,,高度:2.4米;全长:7.65米;宽度:2.64米;,战斗全重:31.8千克;,,,,原产国:苏联;,研发者:A·莫洛佐夫;,作用:抵抗德军;,,,,
T54,坦克,,外文名:T-54/55;,,,,,,,,研制时间:1945年;生产日期:1947年;,原产国:苏联;,,,,,,
T-95新型主战坦克,坦克,,外文名:T-95;,前型/级:T-90;,,,,,,,研制时间:1996;,原产国:俄罗斯;,,,,,,
T20中型坦克,坦克,,,,,,,,,,诞生时间:1943年;,原产国:美国;,研发厂商:　克莱斯勒;,,,,,发动机:Ford GAN V-8 汽油机;
T34重型坦克,坦克,别名:T34;,,,最大速度:35千米/小时;,,,战斗全重:65.1千克;,,,诞生时间:1945年;,原产国:美国;,研发者:美国二战时期研制;研发厂商:美国;,,,,,发动机:810马力;
约瑟夫·雅科夫列维奇·科京,坦克,,,,,,,,,,,,,,,,,
以色列“梅卡瓦”MKII主战坦克,坦克,,英文名称:Merkava MBT;,前型/级:百夫长/M60;,最大速度:55km/h;,,,,,,服役时间:1979年;研制时间:1967年初;定型时间:1980年;,国家:以色列;,,,,,,
摇摆式炮塔,坦克,,,,,,,,,,,,,,,,属性:战争工具;,
意大利半人马座坦克歼击车,坦克,,,,,,,,,,,原产国:意大利;,研发厂商:依维柯·菲亚特－奥托·梅莱拉集团;,,,,,
SA2型76毫米自行高炮系统,火炮,,,,最大射速:填写此处;初速:填写此处;,最小射程:填写此处;最大射程:填写此处;,口径:填写此处;,全重:填写此处;,,,服役时间:填写此处;设计时间:填写此处;战斗转换时间:填写此处;定型时间:填写此处;,国家:;,,,,,,
新加坡飞马155毫米重型火炮,火炮,,,,,最大射程:30公里;,,重量:5.4吨;,,,,,,,,,,
JRVG-1型76毫米自行火炮武器系统,火炮,,,,,,,,,,,,,,,,,
QF4.5英寸MKII型炮,火炮,,,,,,,,,,,国家:英国;,,,,,,
PCL-181新型车载加榴炮,火炮,,,,射速:每分钟4发-6发;,最小射程:40公里;最大射程:70公里左右;,口径:155毫米;,全重:5吨;,,,服役时间:2018年;定型时间:2018年1月正式定型;,国家:中国;,,,,,,
意大利“奥托”高射炮,火炮,,,,炮口初速:900米/秒;,,口径:76毫米;,总重:46600千克;,,,,所属国家:意大利;,研发单位:意大利奥托.梅拉拉公司;,,,,,
OB-25式团属野战炮 ,火炮,,,,,,,重量:600公斤;,,,,,,,,,,
M1930 (1-K)37毫米反坦克炮 ,火炮,,,,,,,,,,时间:1930年;,国家:苏联;,,,,,,
M163火神自行高炮,火炮,,,型号:M163 式;,,,,,,,,国别:美国;,,,,,,
海岸炮,火炮,,外文名:Coast gun;,,,,,,,,出现时间:十九世纪;,,,,,,,
飞雷炮（没良心炮）,火炮,,,,,射程:200.0;,,,,,研发时间:1947年;,,,,,,,
120毫米末端修正迫击炮弹,火炮,,,,,,,,,,,,,,,,特点:易于操作、射速快、便于隐蔽;,
83式152毫米履带自行加榴炮,火炮,,,,最大速度:55公里/小时;,最大行程:450公里;,口径:152毫米;,"战斗全重:30,000千克;",乘员:5人;,,时间:1978.0;,国家:中国;,,,,,,
美国M167式20MM6管火神高炮,火炮,,,,初速:1030 米／秒;,有效射高: 900 米;,口径:20 毫米;,,,,,,,,,,,
60式106mm无后坐力炮,火炮,又名:坦克;,外文名:T安可;,型号:60式106mm;,,最大射程:7000 米;,,,,,,,,,,,性能特点:具有较强的反装甲能力;,
“龙火”120毫米迫击炮系统,火炮,,英文名称:EFSS;,,,,,,,,服役时间:2000年2月;,国家:美国;,,,,,,
“吸血鬼”-B反坦克火炮系统,火炮,,,,,最大射程:为12.2公里;,尺寸:全长7.21米，高2.09米;,,,,,,,,,,,
G6-52L自行榴弹炮,火炮,,,,,,,,,,,,,,,,,
英德意155毫米FH70式榴弹炮,火炮,,英文名称:FH70 Field Howitzer;,,,,,,,,,,,,,,,
印度L／70式40MM自行高炮,火炮,,,,初速度:1000.0;射速:240.0;,,口径:40.0;,,,,,,,,,,,
迫击砲,火炮,,外文名称:Mortar;,,,,,,,,,,,,,,特点:炮身短、射角大、弹道弧线高;,
PGZ-07自行高炮,火炮,,,,,,,,,,装备时间:1990年;,所属国家:中国;,,,,,,
PLZ52自行榴弹炮,火炮,,,,,最大行程:450千米;,,,,,,,,,,,,
PTL02轮式突击炮,火炮,,,,,,,,,,设计时间:2001年10月17日;,,,,,,特点:越野性能好;,
瑞典阿契尔自行火炮,火炮,,,,,,,,,,,,,,,,,
瑞士GDF-005式35毫米双管高射炮系统,火炮,,,,射速:500发/分;,有效射程:4000米;有效射高:3000米;,,,,,,,,,,,,
