weapon,abstract
15式新轻型主战坦克,"
	15式轻型坦克（代号：ZTQ-15，英文：Type 15 light tank）是中国研制的轻型坦克，已列装中国陆军部队，于2019年首次亮相国庆70周年阅兵。作为国产最新型陆军装甲突击力量的优秀代表，其体积小、重量轻，适合南方水稻田网地形和西北高原地区使用。	"
Pz61/68主战坦克,"
	Pz61是瑞士在1961年研制出的主战坦克，在1968年，瑞士又完成了对Pz61的重大改进，改进后的坦克就称为Pz68。Pz61和Pz68体现了瑞士强盛的军事工业，虽然瑞士购买了380辆德国的“豹”2主战坦克，但是Pz61和Pz68仍然占瑞士坦克数量的60%左右，仍是瑞士装甲力量的重要支柱。	"
15式坦克,"
	15式轻型坦克(代号：ZTQ-15，英文：Type 15 light tank)是中国研制的轻型坦克，已列装中国陆军部队，于2019年首次亮相国庆70周年阅兵。作为国产最新型陆军装甲突击力量的优秀代表，其体积小、重量轻，适合南方水稻田网地形和西北高原地区使用。
            	"
KT-40飞行坦克,"
	苏联研制的KT-40飞行坦克。二战开始后，坦克成为“地面闪电战之王”。为了远距离快速打击德国法西斯，苏联红军曾试图为地面行驶的坦克插上翅膀，使之成为能够飞越千山万水的“飞行坦克”。然而，由于技术的限制，“飞行坦克”最终未能投入实战。	"
挑战者Ⅱ主战坦克,"
	挑战者Ⅱ主战坦克为英国公司阿尔维斯·维克斯(Alvis Vickers)所生产的一款主战坦克，它是挑战者系列的第三种车型，于1993年开始生产，而第一辆坦克则于1994年3月竣工。挑战者2的炮塔防护采用的是第二代“乔巴姆”复合装甲。炮塔中还装有一套核生化防护系统。炮塔两侧各装有5组Helio Mirror 公司制造的L8烟幕弹发射器。挑战者2还可以通过向发动机废气中喷射柴油产生大量的烟雾。	"
二代主战坦克,"
	1960年代开始，由于中型坦克的火力和装甲防护已经达到或超过了以往重型坦克的水平，同时克服了重型坦克机动性差的弱点，从而形成了一种具有现代特征的的单一战斗坦克，即“主战坦克”或“第二代坦克”，成为各国家装甲部队的主力。	"
重装坦克之斩首行动,"
	《重装坦克之斩首行动》是Android 1.6+平台上的手机游戏。玩家通过操纵坦克，冒着枪林弹雨，冲破层层封锁，体验前所未有的激情战争！为您打造一个，史无前例的战争游戏。	"
中国82式坦克运输车,"
	空载12500kg 牵引座1.45m 前轮2.05m	"
战地主战坦克,"
	《战地主战坦克》是一款益智小游戏，游戏大小为1.52MB。游戏目标是在有限的炮弹内，成功地消灭掉所有的敌人即可进入下一关！	"
侦察坦克,"
	侦察坦克是一款英文游戏，应用版本为V2.11.58。	"
中国VT1A型主战坦克,"
	中国VT1A主战坦克是中国科技人员在以前外贸坦克的基础上，结合当今战争要求特点研制的新一代外贸主战坦克。	"
中国TSFCS-C坦克火控系统,"
	中国TSFCS-C坦克火控系统由中国北方工业(集团)总公司研制生产，该火控系统适用于各种主战坦克，可装备在69式坦克上，也可用来改装T系列坦克。	"
M26[二战时期的重型拖车],"
	M26可以是以下产品的代号：美国在二战时期的重型拖车M26（NGC 6694）位于盾牌座，是一个疏散星团。台电M26手机M26“潘兴”坦克Mi-26大型直升机	"
KV坦克,"
	KV坦克（КВ танк）全称科京-伏罗希洛夫坦克。苏德战争初期，KV重型坦克在战场上的出现，使德国坦克相形见绌。德军装甲兵只要遭遇KV坦克便会被阻挡，接着就是一场恶战。KV坦克在阻止德军的快速进攻中发挥了一定作用。KV重型坦克的研制继承了T-35、SMK、T-100等重型坦克的有益成果，也为后来IS系列重型坦克的研制奠定了基础。	"
德国VK3001中型坦克,"
	德国重型坦克在35年就开始计划了，经过几年的发展，亨舍尔在VK3601之后搞出了VK4501虎式。而另一方有一个平行的计划正在进行着，那就是保时捷厂自行开发的重坦克。
            	"
AMX-勒克莱尔主战坦克,"
	AMX-勒克莱尔主战坦克研制工作始于1978年，1983年进入技术验证阶段，1986年1月30日被命名为AMX-勒克莱尔坦克，以纪念法国菲利普·勒克莱尔(Philippe Leclerc)元帅。	"
ZTC99式主战坦克,"
	ZTC99式主战坦克为现代的一种军事武器。	"
ZTZ59D1主战坦克,"
	59D1主战坦克，运用了大量高新技术，改进后的整体性能与国外二代主战坦克基本相当，真正实现了“宝刀不老”，成为我军装甲机械化部队的“主战坦克”。 它采用的二代光点注入式火控系统装有微型计算机、光点注入式激光测距瞄准镜、光点注入式炮长微光瞄准镜及各种传感器。运用了大量高新技术，改进后的整体性能与国外二代主战坦克基本相当，真正实现了“宝刀不老”，成为我军装甲机械化部队的“主战坦克”。	"
ZTZ-96A型主战坦克,"
	ZTZ-96A主战坦克是中国大陆自行研制的第三代主战坦克96式改进而成，又称96G，已经量产并列装中国大陆主力装甲部队，96G并不代表中国大陆主战坦克的最高水平，它属於低成本，而性能优秀的一种主战坦克，适合大批量生产装备部队。和价格昂贵的99式主战坦克形成高低搭配组合。
            	"
T-54型主战坦克,"
	T-54型主战坦克，于1947年开始研制，1950年定型投产，是苏联五十年代的装备车型。	"
T95[重型坦克],"
	1945年，美国陆军要求设计发展一种超重型坦克，主要是打击德国的城墙和防御工事。因与鼠式为同一时期产物，所以常被互相比较。也由此产生了“为对抗德国鼠式、E100等重型坦克而研发”的错误。1945年春，美国太平洋汽车和铸造公司开始设计。开始要求制造5辆样车，总共生产25辆，不过到最后只生产了2辆。原称T95自行火炮，1946年6月改称T28超重型坦克。1945年2月7日，军火研发部门主席的一份备忘录又把它称做T95型105毫米火炮搭载车。	"
挑战者II主战坦克[挑战者II主战坦克],"
	英国挑战者2E主战坦克，是英国为了抢夺国际军火市场，在自行研制的挑战者-1的基础上新研发的一种主要用于出口的坦克，由英国维克斯防务系统集团研发。2002年批量生产型的挑战者-2E正式驶下生产线。维克斯公司称，最新型号的挑战者-2E采用了目前最新的技术，功能强大，并且还拥有很大的改进潜力，它将成为世界各国已经装备的第三代主战坦克最出色的车型之一。挑战者-2E中的“E”为英语单词——出口（EXPORT）的第一个字母，在进行了6年多的研制工作之后，英国维克斯防务系统集团（VDS）已完成挑战者-2E主战坦克最终的生产型。	"
VT4主战坦克,"
	VT-4主战坦克，是中国兵工集团研发的新一代外贸型主战坦克。该型坦克是中国兵器在MBT-2000主战坦克成功研制并批量装备后，是瞄准国际坦克发展趋势研制的。	"
VK1602豹式,"
	Leopard(VK1602)，纳粹德国轻型坦克，研究时间在1942.3--1943.11，最后仅出现未完工的原型车。	"
VK3601坦克,"
	1938年9月德军陆军兵器局下令制造30吨级的坦克，以作为3号坦克和4号坦克的后续型，亨舍尔公司接手了这个任务，作为他们的新型中型坦克进行发展，这个也就是VK3001（H）坦克的开始。同时德军要求生产新的坦克去填补德军没有优秀重型坦克的空白，当然防护要更加强大，具体指标为：正面100毫米，两侧60毫米，后方80毫米。于是亨舍尔公司开始设计新的底盘，去提高承载能力以安装更为强大的装甲。为了减少沉重的坦克对地面压强过大，德军开始了独特的解决办法，即大直径的交叉负重轮和宽履带的悬挂结构，这也为今后的德军重型坦克开创了先河。	"
VT-4主战坦克,"
	VT-4主战坦克（英文：VT-4 Main Battle Tank ，又被称为MBT-3000），是中国兵工集团研发的新一代外贸型主战坦克。该型坦克是中国兵器在MBT-2000主战坦克成功研制并批量装备后，是瞄准国际坦克发展趋势研制的。VT-4主战坦克于2012年首次亮相法国巴黎的欧洲防务展。VT-4集成了中国装甲车辆领域最新的高功率密度推进技术、光电技术、信息技术、新材料技术、总体技术，是一型模块化、信息化、具有自主知识产权的主战坦克。	"
